epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.739,1.14148,2.31372,1.14429,0.262,0.43595,0.3035,0.20385,1.17133,2.45286,1.228,0.000369095,0.000369095,0.000369095
2,214.889,1.1907,1.87117,1.18369,0.30081,0.38954,0.31579,0.21488,1.18171,2.92542,1.23451,0.000666225,0.000666225,0.000666225
3,319.859,1.192,1.78097,1.20081,0.52278,0.4398,0.42659,0.28302,1.21445,2.25973,1.27745,0.000890029,0.000890029,0.000890029
4,423.883,1.19579,1.6733,1.21454,0.47698,0.32074,0.38205,0.25326,1.27425,1.80406,1.31114,0.000781033,0.000781033,0.000781033
5,527.56,1.13869,1.50451,1.15873,0.6821,0.44071,0.51076,0.33795,1.19555,1.67252,1.23542,0.000671044,0.000671044,0.000671044
6,631.839,1.09218,1.416,1.14171,0.34055,0.51744,0.37677,0.24736,1.17023,1.89186,1.2232,0.000561055,0.000561055,0.000561055
7,735.033,1.05687,1.32456,1.13772,0.46491,0.43625,0.44146,0.29433,1.15532,1.77731,1.19339,0.000451066,0.000451066,0.000451066
8,837.843,1.035,1.26997,1.11094,0.64849,0.53114,0.56775,0.39005,1.07393,1.45768,1.15644,0.000341077,0.000341077,0.000341077
9,941.629,0.98325,1.16877,1.08662,0.67555,0.4781,0.59141,0.41883,1.07361,1.40215,1.13977,0.000231088,0.000231088,0.000231088
10,1047.95,0.94079,1.12669,1.05991,0.65819,0.56209,0.63731,0.44174,1.02142,1.33146,1.11195,0.000121099,0.000121099,0.000121099
